chunk_id,source_document,chunk_index,text,word_count
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_20,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,20,"1 Informal complaint (An inf ormal complaint is made to any member of the implementing bodies, including academic staff, administrative staff or students leader. 11It is made in those cases where the victim wishes for immediate action to be taken (for instance, warn the harasser or change his/her dissertation supervisor) to remedy or redress the harm without pursuing disciplinary action or seeking sanctions against the respondent . In any case, the respondent must be notified of the complaint lodged against him/her. (An informal complaint lodged with a student leader, academic or administrative staff shall be forwarded to the Gender Mainstreaming Directorate for recording. The exception shall be where the victim explicitly requests that no record should be made regarding the complaint. (An informal complaint remains on record and may be used in future as evidence of repeated unwanted conduct.",139
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_21,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,21,"(An informal complaint remains on record and may be used in future as evidence of repeated unwanted conduct. 2 F ormal Complaint (An y member of the University community who believes that he or she has been subjected to sexual harassment can lodge a written and signed complaint with the Gender mainstreaming Directorate or any academic/administrative unit or person of authority that the victim trusts. (An y Unit of the University may initiate an official investigation if there is reason to believe that any of its members is committing sexual harassment or being harassed. (A f ormal complaint shall contain: Name, address and contact details of the complainant; Date of the complaint; Nature and details of the act or conduct complained about; and Any other relevant details concerning the complaint. Online electronic media Reporting The University shall institute and implement an online sexual harassment reporting system.",146
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_22,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,22,"Online electronic media Reporting The University shall institute and implement an online sexual harassment reporting system. Complaint boxes The Directorate of Gender Mainstreaming shall create sexual harassment complaint boxes through which victims can report. Telephone The Directorate of Gender Mainstreaming shall set up telephone hotlines for victims to report sexual harassment complaints. Anonymous complaints Anonymous complaints shall not be admissible and shall first be investigated to determine their authenticity before any action can be taken. In any case, a complainant of sexual harassment who wishes to pursue a remedy through these procedures must be prepared to be identified to the respondent. However, the Policy does not prevent anyone from seeking counselling or advice on a confidential basis. Guidelines for Documenting Sexual Harassment A person subjected to sexual harassment should do the following: (C ollect and document all accounts of the incident(of sexual harassment as soon as possible after occurrence.",149
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_23,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,23,"Guidelines for Documenting Sexual Harassment A person subjected to sexual harassment should do the following: (C ollect and document all accounts of the incident(of sexual harassment as soon as possible after occurrence. If the evidence comes in written form such as a letter, email or text message, keep it. If the evidence is based on oral statement, try to remember the actual words used and write them down as soon as possible. (F or each incident, always record the time and place it happened. (R ecord any audios and videos and photograph any inappropriate images, displays or images that indicate possible sexual harassment. (F or back up, make multiple copies of collected evidence and store them separately from the originals. (No te down the names and contacts of all witnesses and take their statements. 13(Seek medical services in case of physical sexual assault, rape and other related abuses.",148
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_24,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,24,"13(Seek medical services in case of physical sexual assault, rape and other related abuses. (K eep records of all health treatment that you received as a result of the sexual harassment. (F amiliarize yourself with the University Policy and Regulations Against Sexual Harassment so that you follow the complaint procedures. (If unsur e of how to go about doing any of this, contact the Directorate of Gender Mainstreaming to assist you gather evidence. (C ommunicate clearly to the individual whose conduct is offensive, unwelcome or intimidating and request that such conduct stops. The request must be direct and consistent. The victim shall avail evidence in this regard. Procedures for handling reported complaints of sexual harassment. (In order to eliminate conflict of interest issues, Anti-Sexual Harassment Committees based at University units are hereby removed from the Policy.",136
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_25,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,25,"(In order to eliminate conflict of interest issues, Anti-Sexual Harassment Committees based at University units are hereby removed from the Policy. The Vice Chancellor shall instead set up a standing Roster of 100 persons from which ad hoc committees will be drawn to investigate specific reported complaints of Sexual Harassment. All 100 members shall be persons of integrity, trained and sensitized on sexual harassment, abuse and procedural matters for handling complaints as and when they arise. (All c omplaints of sexual harassment received by any person shall be routed through the Directorate of Gender Mainstreaming, which will notify the office of the Vice Chancellor to institute an ad hoc Committee consisting of a minimum of 3 and a maximum of 7 persons to investigate each reported complaint. The ad hoc committee will be drawn out of the broader Vice-Chancellors Roster of 100 members.",143
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_26,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,26,"The ad hoc committee will be drawn out of the broader Vice-Chancellors Roster of 100 members. In case there is a complaint against any member of the implementing organs, he/she will recuse him/herself from the procedure. 14(The R oster of 100 should represent all categories of groups in the University community, that is, academic, administrative and support staff, students (undergraduate and post-graduate) as well as all hierarchical ranks within those categories. The list will be published and updated each year. (The composition of the ad hoc committee to investigate specific complaints must be carefully selected to ensure that: i All member s are competent people of integrity with no previous allegations of sexual harassment and abuse against them; ii Ther e are no conflict of interest issues.",127
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_27,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,27,"(The composition of the ad hoc committee to investigate specific complaints must be carefully selected to ensure that: i All member s are competent people of integrity with no previous allegations of sexual harassment and abuse against them; ii Ther e are no conflict of interest issues. Members of the ad hoc Committees nominated for each complaint shall swear oaths of Confidentiality and a sign a declaration of no conflict of interest. iii The t otal number of members is odd for majority-based decisions; iv The c omposition of all ad hoc Committees must maintain gender equity; in any case, the extra odd number member should be female; v Students  representation on ad hoc committees should be limited to complaints where students are involved either as complainants or respondents. No student should sit on an ad hoc committee investigating academic, administrative or support staff.",144
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_28,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,28,"No student should sit on an ad hoc committee investigating academic, administrative or support staff. vi If the ac cused individual is a member of the University Central Management, a committee of the University Council shall conduct the investigative process. (The investigative work of ad hoc committees shall be facilitated by a secretariat that comprises members from the Directorates of Gender Mainstreaming and Legal Affairs. It is the duty of the secretariat to ensure that the ad hoc committees adhere to the provisions of this Policy and report any violations to the appointing authority. (The secr etariat shall formulate clear and detailed procedural guidelines for ad hoc Committees to follow during their investigative proceedings. 15(A fter the ad hoc committee has completed its investigations, the chairperson of the Committee shall submit a written report to the appointing authority communicating the committees findings and recommendations.",144
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_29,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,29,"15(A fter the ad hoc committee has completed its investigations, the chairperson of the Committee shall submit a written report to the appointing authority communicating the committees findings and recommendations. On receiving the Committees report, the Vice Chancellor or relevant authority shall forward it to the relevant disciplinary organs of the University or relevant entity for consideration and final determination. (Wher e the Investigation Committee finds that there is a case for the respondent to answer regarding the preferred charge(, members who participated in the investigation shall not be members of the disciplinary committee. (F or avoidance of doubt, in cases where the accused person is a staff member, the report shall be forwarded to the Vice Chancellor for onward transmission to the Appointments Board. Where the accused is a student, the report shall be forwarded to Vice Chancellor for onward transmission to the Students Disciplinary Committee of the University.",150
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_30,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,30,"Where the accused is a student, the report shall be forwarded to Vice Chancellor for onward transmission to the Students Disciplinary Committee of the University. Where the accused is neither a staff nor a student, the report shall be forwarded to appropriate law enforcement agencies. (When handling sexual harassment complaints, the university shall ensure c ompliance with rules of natural justice. But it should be noted that as quasi-judicial bodies, the investigative and disciplinary entities of the University enjoy relative flexibility and freedom from the strict rules and procedure. Investigations (The In vestigative bodies shall carry out investigations with independence, objectivity and with due diligence and respect for the rights of both the complainant and the respondent. (Wher e there are allegations of conflict of interest by a member, the latter shall recuse him/herself from the Committee investigating the alleged sexual harassment.",142
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_31,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,31,"(Wher e there are allegations of conflict of interest by a member, the latter shall recuse him/herself from the Committee investigating the alleged sexual harassment. Lodging of a complaint (A complaint of sexual harassment should be lodged within three years after its occurrence. 16(A complaint received three years after the incident (of sexual harassment may be accepted if there are reasonable grounds why it was not lodged within the prescribed time. (A complaint shall be investigated and a report forwarded to the appropriate organ for further action within three  months after lodgment. Representation During the investigation process, parties will have a right to legal representation at their expense. Where one of the parties has procured legal representation, the secretariat shall advise the other party to seek legal aid from an approved legal aid service provider. A friend or colleague may accompany a complainant or the respondent to the hearing.",149
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_32,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,32,"A friend or colleague may accompany a complainant or the respondent to the hearing. Sexual Harassment Archive The Directorate of Gender Mainstreaming shall keep a digital and physical record of all cases of sexual harassment investigated and or determined by university organs. Protection of Personal Dignity (The per sonal dignity of all parties shall be respected during the hearing. (All pr oceedings under this Policy shall not be open to the public. Service of summons The investigation Committee shall issue summons to the respondent who shall respond in writing within seven  days from the date of service. Failure to Respond to Summons Where a respondent has been summoned and fails to lodge a written response within the prescribed period or fail to appear in person on the day of a scheduled hearing, the committee may proceed ex-parte.",137
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_33,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,33,"Failure to Respond to Summons Where a respondent has been summoned and fails to lodge a written response within the prescribed period or fail to appear in person on the day of a scheduled hearing, the committee may proceed ex-parte. Monitoring The University Directorates of Gender Mainstreaming and Legal Affairs shall monitor compliance of decisions made in respect of all lodged complaints. Penalties (A person found guilty of sexual harassment shall, depending on the gravity of the offence, be liable to any or a combination of the following: Written warning;Counseling;Restraining Order; Apology to the aggrieved party;Compensation to the aggrieved party;Fines of up to two years salary;Suspension; Demotion; ix Dismissal; Criminal investigation and prosecu tion (A per son who has been found guilty by the appropriate disciplinary organ shall be handled in accordance with the laws and policies that govern the University, the Public Service Standing orders and other national laws.",150
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_34,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,34,"Penalties (A person found guilty of sexual harassment shall, depending on the gravity of the offence, be liable to any or a combination of the following: Written warning;Counseling;Restraining Order; Apology to the aggrieved party;Compensation to the aggrieved party;Fines of up to two years salary;Suspension; Demotion; ix Dismissal; Criminal investigation and prosecu tion (A per son who has been found guilty by the appropriate disciplinary organ shall be handled in accordance with the laws and policies that govern the University, the Public Service Standing orders and other national laws. (The penalties giv en by the relevant disciplinary organ shall not preclude the victim from seeking remedies provided by the national judicial framework.",111
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_35,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,35,"(The penalties giv en by the relevant disciplinary organ shall not preclude the victim from seeking remedies provided by the national judicial framework. (If a par ty institutes criminal proceedings resulting from the criminal aspects of the allegations or civil proceedings for the civil elements, it shall not impede the University internal disciplinary mechanism from proceeding with the investigation, hearing and determination of the matter. Appeals (Bo th the complainant and respondent have a right of appeal if dissatisfied with the decision of the internal Disciplinary organs of the University. 18(A person who is not satisfied with the decision of the Disciplinary organs of the University may, within fourteen  days of the decision, appeal against the decision to the relevant appellate organ. (The Sena te Anti-Sexual Harassment Appellant Committee is hereby disbanded.",132
Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf_chunk_36,Policy-and-Regulations-Against-Sexual-Harassment-2018.pdf,36,"(The Sena te Anti-Sexual Harassment Appellant Committee is hereby disbanded. (F or academic, administrative and support staff, appeals shall be directed to the Staff Appeals Tribunal, while students shall appeal to the Students Affairs Committee of the University Council. Others shall appeal to the University Council. (The Appella te Organs shall dispose of all appeals within three  months from the date of lodgment of the Appeal. (An y person who is dissatisfied with the decision of the University Appellate Organs shall, upon exhaustion of all internal remedies, appeal to the High Court within fourteen  days. Suspension The Vice-Chancellor shall have the mandate to suspend a member of the university community against whom a complaint of sexual harassment has been lodged, provided that any such suspension is carried out in conformity with the prevailing human resources policy and regulations of the university.",141
